75
259 83
263 575
346 225
115 192
189 493
165 290
236 336
311 320
365 151
245 242
125 238
364 162
226 459
162 439
58 91
83 516
326 455
297 147
174 376
383 399
112 158
82 33
389 123
73 204
332 224
228 337
362 507
187 126
205 161
71 431
47 303
375 188
303 357
156 110
244 187
110 538
51 301
99 245
161 351
92 204
365 116
314 320
164 550
143 447
257 185
310 545
108 281
22 357
359 40
246 328
51 570
58 370
355 549
87 465
348 429
120 67
251 521
146 444
147 5
192 334
388 272
233 205
188 599
218 372
169 598
214 575
305 155
316 361
170 484
166 2
6 423
78 17
125 357
208 157
217 543
